ID Transaksi,Tanggal,Kota Customer,Kategori,Nama Produk,Harga Satuan (IDR),Jumlah,Total Penjualan (IDR),Metode Pembayaran,Status Pesanan
TRX-2026-0001,2025-04-13,Medan,Elektronik,Wireless Earbuds,750000,5,3750000,COD,Dibatalkan
TRX-2026-0002,2025-05-02,Bandung,Peralatan Rumah,Blender Multi-fungsi,450000,3,1350000,COD,Selesai
TRX-2026-0003,2025-05-11,Makassar,Elektronik,Laptop Workstation,12500000,4,50000000,QRIS,Selesai
TRX-2026-0004,2025-10-04,Jakarta,Kecantikan & Kesehatan,Sunscreen SPF 50,120000,5,600000,Kartu Kredit,Selesai
TRX-2026-0005,2026-07-15,Bandung,Peralatan Rumah,Vacuum Cleaner Robot,2400000,4,9600000,Kartu Kredit,Dibatalkan
TRX-2026-0006,2025-07-09,Makassar,Peralatan Rumah,Blender Multi-fungsi,450000,4,1800000,Kartu Kredit,Selesai
TRX-2026-0007,2025-05-11,Semarang,Peralatan Rumah,Set Alat Masak,600000,1,600000,QRIS,Selesai
TRX-2026-0008,2025-11-12,Makassar,Pakaian & Fashion,Jaket Denim,450000,1,450000,QRIS,Dalam Pengiriman
TRX-2026-0009,2025-12-06,Medan,Peralatan Rumah,Kipas Angin Digital,380000,4,1520000,COD,Dibatalkan
TRX-2026-0010,2025-02-04,Makassar,Elektronik,Smartwatch,1800000,2,3600000,Kartu Kredit,Selesai
TRX-2026-0011,2026-01-25,Makassar,Pakaian & Fashion,Tas Ransel Laptop,350000,5,1750000,QRIS,Selesai
TRX-2026-0012,2026-07-10,Surabaya,Pakaian & Fashion,Tas Ransel Laptop,350000,4,1400000,Transfer Bank,Diproses
TRX-2026-0013,2025-10-23,Semarang,Kecantikan & Kesehatan,Diffuser Aromaterapi,220000,2,440000,COD,Selesai
TRX-2026-0014,2025-08-05,Medan,Kecantikan & Kesehatan,Vitamin Multivitamin,180000,5,900000,Transfer Bank,Dalam Pengiriman
TRX-2026-0015,2025-01-15,Semarang,Elektronik,Smartphone 5G,4500000,1,4500000,Transfer Bank,Selesai
TRX-2026-0016,2026-04-17,Denpasar,Peralatan Rumah,Blender Multi-fungsi,450000,1,450000,E-Wallet,Selesai
TRX-2026-0017,2025-10-16,Bandung,Elektronik,Laptop Workstation,12500000,2,25000000,Transfer Bank,Selesai
TRX-2026-0018,2025-05-15,Jakarta,Kecantikan & Kesehatan,Vitamin Multivitamin,180000,2,360000,Transfer Bank,Dibatalkan
TRX-2026-0019,2026-02-11,Makassar,Kecantikan & Kesehatan,Diffuser Aromaterapi,220000,3,660000,Kartu Kredit,Diproses
TRX-2026-0020,2026-07-01,Jakarta,Peralatan Rumah,Set Alat Masak,600000,3,1800000,Transfer Bank,Dalam Pengiriman
TRX-2026-0021,2025-08-06,Denpasar,Peralatan Rumah,Blender Multi-fungsi,450000,1,450000,QRIS,Selesai
TRX-2026-0022,2026-04-06,Bandung,Peralatan Rumah,Air Fryer 4L,850000,4,3400000,COD,Selesai
TRX-2026-0023,2026-04-30,Denpasar,Peralatan Rumah,Set Alat Masak,600000,3,1800000,COD,Selesai
TRX-2026-0024,2026-06-09,Yogyakarta,Peralatan Rumah,Blender Multi-fungsi,450000,3,1350000,Kartu Kredit,Selesai
TRX-2026-0025,2026-07-11,Makassar,Elektronik,Monitor 27-inch,3200000,4,12800000,Kartu Kredit,Selesai
TRX-2026-0026,2026-07-10,Medan,Pakaian & Fashion,Sepatu Sneakers,850000,2,1700000,Kartu Kredit,Selesai
TRX-2026-0027,2025-08-19,Makassar,Elektronik,Smartphone 5G,4500000,1,4500000,E-Wallet,Diproses
TRX-2026-0028,2025-09-16,Denpasar,Pakaian & Fashion,Sepatu Sneakers,850000,1,850000,COD,Selesai
TRX-2026-0029,2025-08-22,Medan,Kecantikan & Kesehatan,Paket Skincare Set,450000,1,450000,Kartu Kredit,Selesai
TRX-2026-0030,2026-05-12,Surabaya,Kecantikan & Kesehatan,Vitamin Multivitamin,180000,2,360000,E-Wallet,Selesai
TRX-2026-0031,2025-03-22,Bandung,Elektronik,Laptop Workstation,12500000,2,25000000,Kartu Kredit,Diproses
TRX-2026-0032,2025-08-13,Jakarta,Peralatan Rumah,Vacuum Cleaner Robot,2400000,5,12000000,Kartu Kredit,Selesai
TRX-2026-0033,2026-02-20,Denpasar,Kecantikan & Kesehatan,Paket Skincare Set,450000,3,1350000,Transfer Bank,Dibatalkan
TRX-2026-0034,2025-10-21,Yogyakarta,Elektronik,Smartwatch,1800000,2,3600000,E-Wallet,Dibatalkan
TRX-2026-0035,2025-05-24,Jakarta,Elektronik,Smartwatch,1800000,3,5400000,COD,Selesai
TRX-2026-0036,2026-02-07,Surabaya,Peralatan Rumah,Blender Multi-fungsi,450000,4,1800000,Kartu Kredit,Selesai
TRX-2026-0037,2026-07-05,Surabaya,Kecantikan & Kesehatan,Serum Wajah Vitamin C,150000,3,450000,Kartu Kredit,Selesai
TRX-2026-0038,2026-04-18,Surabaya,Peralatan Rumah,Vacuum Cleaner Robot,2400000,3,7200000,Kartu Kredit,Selesai
TRX-2026-0039,2026-07-26,Jakarta,Pakaian & Fashion,Kemeja Formal,250000,4,1000000,COD,Dalam Pengiriman
TRX-2026-0040,2025-06-09,Bandung,Peralatan Rumah,Air Fryer 4L,850000,1,850000,E-Wallet,Selesai
TRX-2026-0041,2025-07-27,Bandung,Kecantikan & Kesehatan,Serum Wajah Vitamin C,150000,4,600000,E-Wallet,Selesai
TRX-2026-0042,2026-02-24,Makassar,Kecantikan & Kesehatan,Vitamin Multivitamin,180000,3,540000,Transfer Bank,Selesai
TRX-2026-0043,2025-06-02,Semarang,Pakaian & Fashion,Jaket Denim,450000,2,900000,E-Wallet,Dalam Pengiriman
TRX-2026-0044,2025-06-10,Medan,Elektronik,Monitor 27-inch,3200000,4,12800000,E-Wallet,Selesai
TRX-2026-0045,2025-02-02,Yogyakarta,Kecantikan & Kesehatan,Paket Skincare Set,450000,3,1350000,COD,Selesai
TRX-2026-0046,2026-03-14,Yogyakarta,Peralatan Rumah,Blender Multi-fungsi,450000,2,900000,COD,Diproses
TRX-2026-0047,2025-10-11,Denpasar,Kecantikan & Kesehatan,Serum Wajah Vitamin C,150000,5,750000,Kartu Kredit,Dalam Pengiriman
TRX-2026-0048,2026-05-31,Bandung,Kecantikan & Kesehatan,Serum Wajah Vitamin C,150000,1,150000,Kartu Kredit,Selesai
TRX-2026-0049,2025-06-07,Semarang,Pakaian & Fashion,Gaun Casual,300000,3,900000,Kartu Kredit,Selesai
TRX-2026-0050,2025-02-06,Yogyakarta,Elektronik,Smartphone 5G,4500000,5,22500000,E-Wallet,Selesai
TRX-2026-0051,2025-04-26,Denpasar,Elektronik,Monitor 27-inch,3200000,1,3200000,E-Wallet,Selesai
TRX-2026-0052,2026-07-20,Surabaya,Peralatan Rumah,Vacuum Cleaner Robot,2400000,2,4800000,E-Wallet,Selesai
TRX-2026-0053,2026-01-21,Surabaya,Elektronik,Smartphone 5G,4500000,1,4500000,E-Wallet,Diproses
TRX-2026-0054,2025-06-25,Denpasar,Elektronik,Laptop Workstation,12500000,2,25000000,E-Wallet,Selesai
TRX-2026-0055,2026-02-12,Semarang,Kecantikan & Kesehatan,Sunscreen SPF 50,120000,1,120000,Kartu Kredit,Dalam Pengiriman
TRX-2026-0056,2025-01-20,Jakarta,Kecantikan & Kesehatan,Vitamin Multivitamin,180000,3,540000,Kartu Kredit,Selesai
TRX-2026-0057,2025-02-20,Jakarta,Pakaian & Fashion,Gaun Casual,300000,2,600000,QRIS,Diproses
TRX-2026-0058,2025-11-01,Medan,Pakaian & Fashion,Sepatu Sneakers,850000,4,3400000,COD,Selesai
TRX-2026-0059,2025-09-21,Semarang,Kecantikan & Kesehatan,Vitamin Multivitamin,180000,4,720000,COD,Dibatalkan
TRX-2026-0060,2025-07-15,Makassar,Elektronik,Smartwatch,1800000,3,5400000,Kartu Kredit,Dalam Pengiriman
TRX-2026-0061,2026-01-05,Medan,Pakaian & Fashion,Sepatu Sneakers,850000,1,850000,E-Wallet,Selesai
TRX-2026-0062,2025-02-27,Denpasar,Pakaian & Fashion,Gaun Casual,300000,2,600000,COD,Diproses
TRX-2026-0063,2025-05-07,Jakarta,Kecantikan & Kesehatan,Diffuser Aromaterapi,220000,1,220000,QRIS,Selesai
TRX-2026-0064,2026-05-28,Denpasar,Pakaian & Fashion,Kemeja Formal,250000,5,1250000,COD,Selesai
TRX-2026-0065,2025-09-29,Semarang,Peralatan Rumah,Set Alat Masak,600000,5,3000000,E-Wallet,Selesai
TRX-2026-0066,2025-06-03,Yogyakarta,Peralatan Rumah,Set Alat Masak,600000,1,600000,COD,Diproses
TRX-2026-0067,2025-08-08,Semarang,Peralatan Rumah,Air Fryer 4L,850000,4,3400000,COD,Selesai
TRX-2026-0068,2025-08-06,Surabaya,Kecantikan & Kesehatan,Diffuser Aromaterapi,220000,4,880000,Transfer Bank,Diproses
TRX-2026-0069,2025-12-23,Denpasar,Pakaian & Fashion,Jaket Denim,450000,5,2250000,Kartu Kredit,Selesai
TRX-2026-0070,2025-06-29,Denpasar,Pakaian & Fashion,Jaket Denim,450000,3,1350000,QRIS,Selesai
TRX-2026-0071,2025-11-21,Semarang,Kecantikan & Kesehatan,Sunscreen SPF 50,120000,1,120000,Kartu Kredit,Selesai
TRX-2026-0072,2026-01-15,Jakarta,Elektronik,Monitor 27-inch,3200000,3,9600000,E-Wallet,Dalam Pengiriman
TRX-2026-0073,2025-09-25,Bandung,Elektronik,Smartphone 5G,4500000,2,9000000,E-Wallet,Selesai
TRX-2026-0074,2025-10-12,Semarang,Kecantikan & Kesehatan,Sunscreen SPF 50,120000,5,600000,E-Wallet,Selesai
TRX-2026-0075,2025-02-04,Denpasar,Elektronik,Laptop Workstation,12500000,5,62500000,QRIS,Selesai
TRX-2026-0076,2026-02-22,Bandung,Elektronik,Smartwatch,1800000,2,3600000,COD,Selesai
TRX-2026-0077,2026-05-08,Bandung,Elektronik,Smartwatch,1800000,1,1800000,COD,Dalam Pengiriman
TRX-2026-0078,2026-01-29,Semarang,Elektronik,Wireless Earbuds,750000,1,750000,E-Wallet,Selesai
TRX-2026-0079,2025-04-06,Yogyakarta,Peralatan Rumah,Set Alat Masak,600000,4,2400000,Transfer Bank,Dibatalkan
